Date,Open,High,Low,Close,Adj Close,Volume
2014-01-27,16258.209961,16268.549805,16057.080078,16134.049805,16134.049805,21663500
2014-01-28,16208.500000,16432.880859,16208.500000,16417.109375,16417.109375,15938100
2014-01-29,16515.800781,16633.910156,16188.219727,16309.259766,16309.259766,20339100
2014-01-30,16307.629883,16337.110352,16156.339844,16285.110352,16285.110352,15526100
2014-01-31,16292.650391,16327.459961,16023.610352,16205.879883,16205.879883,17604100
2014-02-03,16229.879883,16266.839844,16009.500000,16013.830078,16013.830078,18955100
2014-02-04,15917.620117,16084.980469,15827.200195,16032.940430,16032.940430,20381400
2014-02-05,16035.500000,16152.679688,16024.219727,16066.910156,16066.910156,16699500
2014-02-06,16120.889648,16361.740234,16092.290039,16329.230469,16329.230469,21913300
2014-02-07,16362.620117,16432.970703,16313.530273,16400.980469,16400.980469,16854200
2014-02-10,16446.599609,16501.830078,16372.379883,16391.289063,16391.289063,13338000
2014-02-11,16436.769531,16557.919922,16436.769531,16557.919922,16557.919922,14041000
2014-02-12,16587.220703,16697.640625,16587.220703,16644.509766,16644.509766,17247500
2014-02-13,16615.369141,16635.009766,16501.490234,16633.589844,16633.589844,13417300
2014-02-14,16642.230469,16803.990234,16642.230469,16754.699219,16754.699219,13256700
2014-02-17,16784.220703,16898.980469,16784.220703,16882.769531,16882.769531,11922900
2014-02-18,16901.880859,16919.279297,16790.390625,16849.150391,16849.150391,13077500
2014-02-19,16842.160156,16875.890625,16751.179688,16855.779297,16855.779297,13243500
2014-02-20,16788.599609,16792.630859,16602.119141,16774.830078,16774.830078,19064500
2014-02-21,16805.230469,16838.800781,16767.330078,16826.759766,16826.759766,12913100
2014-02-24,16807.599609,16935.699219,16793.689453,16933.400391,16933.400391,12121000
2014-02-25,16945.369141,16945.710938,16840.919922,16917.240234,16917.240234,11198300
2014-02-26,16923.390625,16993.300781,16819.519531,16853.550781,16853.550781,13598600
